0.0		    -0.00544	
1.0		    -0.00611	
2.0		    -0.00683	
3.0		    -0.00719	
4.0		    -0.00746	
5.0		    -0.00732	
6.0		    -0.00629	
7.0		    -0.00566	
8.0		    -0.00508	
9.0		    -0.00431	
10.0		-0.0044	
11.0		-0.00566	
12.0		-0.00557	
13.0		-0.00611	
14.0		-0.00701	
15.0		-0.00791	
16.0		-0.00889	
17.0		-0.00952	
18.0		-0.00997	
19.0		-0.01024	
20.0		-0.01029	
21.0		-0.01141	
22.0		-0.01271	
23.0		-0.01294	
24.0		-0.0124	
25.0		-0.01213	
26.0		-0.01123	
27.0		-0.01078	
28.0		-0.00988	
29.0		-0.00889	
30.0		-0.00827	
31.0		-0.00809	
32.0		-0.00732	
33.0		-0.00755	
34.0		-0.00696	
35.0		-0.00687	
36.0		-0.00656	
37.0		-0.00683	
38.0		-0.00584	
39.0		-0.00494	
40.0		-0.00449	
41.0		-0.00503	
42.0		-0.00611	
43.0		-0.00588	
44.0		-0.00548	
45.0		-0.00557	
46.0		-0.00548	
47.0		-0.00584	
48.0		-0.00701	
49.0		-0.00665	
50.0		-0.00719	
51.0		-0.00737	
52.0		-0.00674	
53.0		-0.00782	
54.0		-0.00818	
55.0		-0.00768	
56.0		-0.00773	
57.0		-0.00683	
58.0		-0.00629	
59.0		-0.0062	
60.0		-0.00647	
61.0		-0.00665	
62.0		-0.00701	
63.0		-0.00737	
64.0		-0.00755	
65.0		-0.00701	
66.0		-0.00768	
67.0		-0.00719	
68.0		-0.00777	
69.0		-0.00773	
70.0		-0.00777	
71.0		-0.00872	
72.0		-0.00916	
73.0		-0.00898	
74.0		-0.01006	
75.0		-0.01074	
76.0		-0.01141	
77.0		-0.01249	
78.0		-0.01343	
79.0		-0.01402	
80.0		-0.01294	
81.0		-0.0115	
82.0		-0.00916	
83.0		-0.00746	
84.0		-0.00737	
85.0		-0.00665	
86.0		-0.00791	
87.0		-0.00916	
88.0		-0.00975	
89.0		-0.01096	
90.0		-0.01312	
91.0		-0.01352	
